"replicate","pvalue","Contemporaneous","Cospeciation","Transfer","Duplication","Loss","time_inconsistency"
1,0.134865,22,8,10,2,13,2
2,0.012987,22,7,10,3,6,4
3,0.012987,22,7,9,4,8,3
4,0.041958,22,6,10,4,7,4
5,0.016983,22,6,9,5,6,4
6,0.190809,22,8,9,3,16,2
7,0.002997,22,7,8,5,8,3
8,0.115884,22,8,10,2,13,2
9,0.011988,22,7,9,4,8,3
10,0.000999,22,7,7,6,8,3
11,0.011988,22,7,9,4,8,3
12,0.048951,22,6,10,4,7,4
13,0.358641,22,8,10,2,16,2
14,0.007992,22,8,8,4,12,3
15,0.001998,22,7,8,5,8,3
16,0.141858,22,8,9,3,16,2
17,0.152847,22,6,11,3,7,4
18,0.036963,22,8,9,3,12,2
19,0.014985,22,9,9,2,12,2
20,0.003996,22,7,7,6,10,3
21,0.123876,22,8,9,3,15,2
22,0.008991,22,7,10,3,6,4
23,0.051948,22,7,10,3,8,3
24,0.006993,22,7,8,5,9,3
25,0.115884,22,7,9,4,13,3
26,0.050949,22,7,8,5,13,2
27,0.361638,22,8,10,2,16,2
28,0.110889,22,8,10,2,13,2
29,0.01998,22,8,7,5,14,4
30,0.128871,22,7,9,4,13,2
31,0.011988,22,8,7,5,15,6
32,0.043956,22,7,8,5,13,3
33,0.027972,22,9,8,3,15,2
34,0.044955,22,6,8,6,10,3
35,0.001998,22,10,6,4,16,3
36,0.081918,22,9,8,3,18,5
37,0.005994,22,7,8,5,10,3
38,0.010989,22,7,10,3,6,4
39,0.026973,22,7,9,4,10,3
40,0.020979,22,9,7,4,18,5
41,0.347652,22,8,9,3,18,5
42,0.033966,22,9,7,4,17,3
43,0.005994,22,9,6,5,17,3
44,0.040959,22,8,9,3,12,2
45,0.054945,22,9,9,2,15,2
46,0.045954,22,7,9,4,10,3
47,0.034965,22,7,9,4,10,3
48,0.003996,22,7,8,5,8,3
49,0.354645,22,8,9,3,18,5
50,0.01998,22,8,8,4,13,4
