"replicate","pvalue","Contemporaneous","Cospeciation","Transfer","Duplication","Loss","time_inconsistency"
1,0.312687,22,8,2,10,48,32
2,0.06993,22,8,1,11,48,21
3,0.003996,22,9,1,10,42,10
4,0.007992,22,8,0,12,49,34
5,0.01998,22,9,1,10,44,16
6,0.056943,22,9,2,9,42,16
7,0.000999,22,9,0,11,41,26
8,0.282717,22,8,2,10,48,32
9,0.005994,22,8,0,12,46,38
10,0.000999,22,9,0,11,38,10
11,0.011988,22,9,1,10,42,10
12,0.02997,22,9,1,10,46,16
13,0.11988,22,9,2,9,46,19
14,0.006993,22,8,0,12,48,21
15,0.002997,22,9,1,10,38,10
16,0.017982,22,9,1,10,46,19
17,0.101898,22,9,1,10,49,20
18,0.027972,22,10,2,8,38,8
19,0.097902,22,8,1,11,49,31
20,0.004995,22,7,0,13,45,30
21,0.003996,22,9,0,11,49,20
22,0.074925,22,8,1,11,48,21
23,0.072927,22,8,1,11,47,38
24,0.005994,22,9,1,10,39,10
25,0.05994,22,8,1,11,47,34
26,0.000999,22,9,0,11,45,19
27,0.128871,22,9,2,9,46,19
28,0.116883,22,8,2,10,45,28
29,0.014985,22,8,1,11,41,22
30,0.026973,22,9,2,9,39,16
31,0.005994,22,8,0,12,48,37
32,0.020979,22,8,0,12,49,22
33,0.003996,22,9,0,11,48,19
34,0.008991,22,8,1,11,41,18
35,0.001998,22,10,0,10,42,8
36,0.076923,22,9,2,9,43,19
37,0.006993,22,7,0,13,48,46
38,0.015984,22,9,1,10,46,19
39,0.031968,22,7,0,13,52,49
40,0.005994,22,9,1,10,43,19
41,0.123876,22,9,2,9,44,20
42,0.004995,22,9,1,10,41,20
43,0.000999,22,10,0,10,40,8
44,0.020979,22,8,0,12,50,32
45,0.046953,22,9,1,10,48,19
46,0.010989,22,8,0,12,49,22
47,0.02997,22,7,0,13,52,49
48,0.000999,22,8,0,12,42,38
49,0.125874,22,9,2,9,44,20
50,0.001998,22,9,0,11,46,26
