"replicate","pvalue","Contemporaneous","Cospeciation","Transfer","Duplication","Loss","time_inconsistency"
1,0.055944,22,3,17,0,0,13
2,0.004995,22,4,16,0,0,12
3,0.031968,22,5,14,1,0,10
4,0.081918,22,3,15,2,0,14
5,0.111888,22,4,15,1,0,11
6,0.145854,22,4,15,1,0,7
7,0.026973,22,4,14,2,0,12
8,0.068931,22,3,17,0,0,13
9,0.026973,22,5,13,2,0,7
10,0.042957,22,4,14,2,0,12
11,0.031968,22,5,14,1,0,10
12,0.061938,22,3,16,1,0,14
13,0.080919,22,4,16,0,0,7
14,0.093906,22,3,16,1,0,14
15,0.047952,22,5,13,2,0,10
16,0.066933,22,3,16,1,0,13
17,0.068931,22,3,17,0,0,14
18,0.036963,22,4,16,0,0,11
19,0.054945,22,3,17,0,0,14
20,0.155844,22,3,15,2,0,13
21,0.285714,22,2,17,1,0,16
22,0.008991,22,4,16,0,0,12
23,0.028971,22,5,14,1,0,7
24,0.028971,22,4,16,0,0,11
25,0.104895,22,3,16,1,0,13
26,0.118881,22,3,16,1,0,12
27,0.046953,22,3,17,0,0,13
28,0.277722,22,2,17,1,0,16
29,0.12987,22,4,14,2,0,7
30,0.116883,22,3,16,1,0,12
31,0.084915,22,3,16,1,0,13
32,0.080919,22,3,16,1,0,13
33,0.114885,22,4,15,1,0,7
34,0.121878,22,3,16,1,0,12
35,0.03996,22,4,15,1,0,13
36,0.065934,22,3,17,0,0,13
37,0.10989,22,3,15,2,0,13
38,0.013986,22,4,15,1,0,12
39,0.082917,22,3,16,1,0,13
40,0.090909,22,3,16,1,0,13
41,0.238761,22,2,18,0,0,15
42,0.194805,22,4,15,1,0,7
43,0.034965,22,4,13,3,0,13
44,0.314685,22,2,17,1,0,16
45,0.085914,22,3,17,0,0,14
46,0.068931,22,3,16,1,0,14
47,0.070929,22,3,16,1,0,13
48,0.048951,22,5,12,3,0,7
49,0.237762,22,2,18,0,0,15
50,0.018981,22,4,15,1,0,13
