"cost_scheme","replicate","pvalue","cospeciation","transfer","duplication","loss","time_inconsistency","signif","ratio"
"d1_t8_l1",25,0.05994,8,1,11,47,34,FALSE,0.125
"d1_t8_l1",26,0.000999,9,0,11,45,19,TRUE,0
"d1_t8_l1",27,0.128871,9,2,9,46,19,FALSE,0.222222222222222
"d1_t8_l1",28,0.116883,8,2,10,45,28,FALSE,0.25
"d1_t8_l1",29,0.014985,8,1,11,41,22,TRUE,0.125
"d1_t8_l1",30,0.026973,9,2,9,39,16,TRUE,0.222222222222222
"d1_t8_l1",31,0.005994,8,0,12,48,37,TRUE,0
"d1_t8_l1",32,0.020979,8,0,12,49,22,TRUE,0
"d1_t8_l1",33,0.003996,9,0,11,48,19,TRUE,0
"d1_t8_l1",34,0.008991,8,1,11,41,18,TRUE,0.125
"d1_t8_l1",35,0.001998,10,0,10,42,8,TRUE,0
"d1_t8_l1",36,0.076923,9,2,9,43,19,FALSE,0.222222222222222
"d1_t8_l1",37,0.006993,7,0,13,48,46,TRUE,0
"d1_t8_l1",38,0.015984,9,1,10,46,19,TRUE,0.111111111111111
"d1_t8_l1",39,0.031968,7,0,13,52,49,TRUE,0
"d1_t8_l1",40,0.005994,9,1,10,43,19,TRUE,0.111111111111111
"d1_t8_l1",41,0.123876,9,2,9,44,20,FALSE,0.222222222222222
"d1_t8_l1",42,0.004995,9,1,10,41,20,TRUE,0.111111111111111
"d1_t8_l1",43,0.000999,10,0,10,40,8,TRUE,0
"d1_t8_l1",44,0.020979,8,0,12,50,32,TRUE,0
"d1_t8_l1",45,0.046953,9,1,10,48,19,TRUE,0.111111111111111
"d1_t8_l1",46,0.010989,8,0,12,49,22,TRUE,0
"d1_t8_l1",47,0.02997,7,0,13,52,49,TRUE,0
"d1_t8_l1",48,0.000999,8,0,12,42,38,TRUE,0
"d1_t8_l1",49,0.125874,9,2,9,44,20,FALSE,0.222222222222222
"d1_t8_l1",50,0.001998,9,0,11,46,26,TRUE,0
"d2_t1_l2",1,0.03996,3,17,0,0,13,TRUE,5.66666666666667
"d2_t1_l2",2,0.017982,4,16,0,0,12,TRUE,4
"d2_t1_l2",3,0.034965,5,15,0,0,10,TRUE,3
"d2_t1_l2",4,0.51049,3,15,2,0,14,FALSE,5
"d2_t1_l2",5,0.298701,4,15,1,0,11,FALSE,3.75
"d2_t1_l2",6,0.318681,4,15,1,0,7,FALSE,3.75
"d2_t1_l2",7,0.423576,4,14,2,0,12,FALSE,3.5
"d2_t1_l2",8,0.037962,3,17,0,0,13,TRUE,5.66666666666667
"d2_t1_l2",9,0.12987,5,14,1,0,7,FALSE,2.8
"d2_t1_l2",10,0.436563,4,14,2,0,12,FALSE,3.5
"d2_t1_l2",11,0.032967,5,15,0,0,10,TRUE,3
"d2_t1_l2",12,0.214785,3,16,1,0,14,FALSE,5.33333333333333
"d2_t1_l2",13,0.045954,4,16,0,0,7,TRUE,4
"d2_t1_l2",14,0.270729,3,16,1,0,14,FALSE,5.33333333333333
"d2_t1_l2",15,0.195804,5,14,1,0,10,FALSE,2.8
"d2_t1_l2",16,0.246753,3,16,1,0,13,FALSE,5.33333333333333
"d2_t1_l2",17,0.03996,3,17,0,0,14,TRUE,5.66666666666667
"d2_t1_l2",18,0.031968,4,16,0,0,11,TRUE,4
"d2_t1_l2",19,0.063936,3,17,0,0,14,FALSE,5.66666666666667
"d2_t1_l2",20,0.639361,3,15,2,0,13,FALSE,5
